folio,nro,depto,area,factor,upm,estrato,sexo,edad,parentesco,idioma_materno,indigena,lee_escribe,nivel_educ,se_matriculo,nivel_matricula,asiste_clases,en_vacaciones,anios_estudio,trabajo,categoria_ocup,ingreso_lab,salario_liq,asistencia_escolar,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,trabajo_bin,depto_viv,area_viv,totper,mat_pared,mat_techo,mat_piso,procedencia_agua,tipo_banio,desague_banio,electricidad,combustible_cocina,n_cuartos,n_cuartos_dormir,internet,alquiler_estimado,hacinamiento,acceso_agua,acceso_electricidad,acceso_banio,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,jefe_sexo,jefe_edad,jefe_nivel_educ,jefe_anios_estudio,jefe_categoria_ocup,jefe_ingreso_lab,ingreso_total_hogar,ingreso_percapita,log_ingreso_pc,log_alquiler,depto_nombre,area_nombre
111-000005-A-0041,2.0,1.0,1.0,218.34615100688364,111-000005-A,111,2.0,19.0,3.0,6.0,2.0,1.0,42.0,1.0,73.0,1.0,,12.0,1.0,1.0,,120.0,1,0,0,1,1,1,1.0,1.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,500.0,3.0,1,1,1,3,1,1,0,2.0,45.0,21.0,2.0,3.0,1000.0,1000.0,333.3333333333333,5.812138499293826,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0041,3.0,1.0,1.0,218.34615100688364,111-000005-A,111,2.0,15.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,1.0,,8.0,2.0,,,,1,0,0,1,1,0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,500.0,3.0,1,1,1,3,1,1,0,2.0,45.0,21.0,2.0,3.0,1000.0,1000.0,333.3333333333333,5.812138499293826,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0051,2.0,1.0,1.0,218.34615100688364,111-000005-A,111,2.0,18.0,2.0,27.0,1.0,1.0,63.0,1.0,78.0,4.0,2.0,12.0,1.0,1.0,,900.0,0,0,1,1,1,1,1.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,,1.0,4.0,1.0,0.0,2.0,500.0,2.0,1,1,1,3,1,1,0,1.0,23.0,42.0,12.0,1.0,,0.0,0.0,0.0,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0061,2.0,1.0,1.0,218.34615100688364,111-000005-A,111,2.0,17.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,1.0,,10.0,1.0,6.0,,,1,0,0,1,1,1,1.0,1.0,6.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,500.0,6.0,1,1,1,3,1,1,0,2.0,41.0,31.0,1.0,3.0,300.0,300.0,50.0,3.9318256327243257,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0061,3.0,1.0,1.0,218.34615100688364,111-000005-A,111,2.0,15.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,1.0,,8.0,2.0,,,,1,0,0,1,1,0,1.0,1.0,6.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,500.0,6.0,1,1,1,3,1,1,0,2.0,41.0,31.0,1.0,3.0,300.0,300.0,50.0,3.9318256327243257,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0061,4.0,1.0,1.0,218.34615100688364,111-000005-A,111,2.0,11.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,1.0,,5.0,1.0,6.0,,,1,0,0,1,1,1,1.0,1.0,6.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,500.0,6.0,1,1,1,3,1,1,0,2.0,41.0,31.0,1.0,3.0,300.0,300.0,50.0,3.9318256327243257,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0061,5.0,1.0,1.0,218.34615100688364,111-000005-A,111,1.0,5.0,3.0,6.0,2.0,2.0,13.0,1.0,13.0,1.0,,0.0,,,,,1,1,0,1,0,0,1.0,1.0,6.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,500.0,6.0,1,1,1,3,1,1,0,2.0,41.0,31.0,1.0,3.0,300.0,300.0,50.0,3.9318256327243257,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0071,3.0,1.0,1.0,218.34615100688364,111-000005-A,111,2.0,12.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,1.0,,5.0,2.0,,,,1,0,0,1,1,0,1.0,1.0,4.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,500.0,4.0,1,1,1,3,1,1,0,1.0,35.0,32.0,12.0,3.0,120.0,120.0,30.0,3.4339872044851463,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0071,4.0,1.0,1.0,218.34615100688364,111-000005-A,111,1.0,11.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,1.0,,4.0,2.0,,,,1,1,0,1,1,0,1.0,1.0,4.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,500.0,4.0,1,1,1,3,1,1,0,1.0,35.0,32.0,12.0,3.0,120.0,120.0,30.0,3.4339872044851463,6.2166061010848646,Chuquisaca,Urbana
111-000005-A-0091,3.0,1.0,1.0,218.34615100688364,111-000005-A,111,1.0,18.0,3.0,6.0,2.0,1.0,42.0,1.0,73.0,1.0,,12.0,2.0,,,,1,1,0,1,1,0,1.0,1.0,4.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,800.0,1.0,1,1,1,3,1,1,1,1.0,45.0,72.0,15.0,1.0,,16000.0,4000.0,8.294299608857235,6.68586094706836,Chuquisaca,Urbana
111-000005-A-0091,4.0,1.0,1.0,218.34615100688364,111-000005-A,111,1.0,13.0,3.0,6.0,2.0,1.0,41.0,1.0,42.0,1.0,,6.0,2.0,,,,1,1,0,1,1,0,1.0,1.0,4.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,800.0,1.0,1,1,1,3,1,1,1,1.0,45.0,72.0,15.0,1.0,,16000.0,4000.0,8.294299608857235,6.68586094706836,Chuquisaca,Urbana
111-000005-A-0111,4.0,1.0,1.0,218.34615100688364,111-000005-A,111,1.0,6.0,6.0,6.0,2.0,1.0,13.0,1.0,41.0,1.0,,0.0,,,,,1,1,0,1,1,0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,300.0,1.0,1,1,1,3,1,1,1,1.0,63.0,21.0,5.0,3.0,1100.0,2660.0,665.0,6.501289670540389,5.707110264748875,Chuquisaca,Urbana
111-000005-A-0121,4.0,1.0,1.0,218.34615100688364,111-000005-A,111,1.0,12.0,4.0,6.0,1.0,1.0,41.0,1.0,42.0,1.0,,6.0,2.0,,,,1,1,1,1,1,0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,400.0,2.0,1,1,1,3,1,1,1,1.0,31.0,73.0,17.0,1.0,,550.0,91.66666666666667,4.529008825022528,5.993961427306569,Chuquisaca,Urbana
