edad,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,hacinamiento,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,log_alquiler,log_ingreso_pc,jefe_anios_estudio,jefe_edad,jefe_sexo,trabajo_bin,area_nombre_Urbana,depto_nombre_Chuquisaca,depto_nombre_Cochabamba,depto_nombre_La Paz,depto_nombre_Oruro,depto_nombre_Pando,depto_nombre_Potosí,depto_nombre_Santa Cruz,depto_nombre_Tarija,asistencia_real,pred_lr,proba_lr,pred_rf,proba_rf
7.0,0,0,1,1,5.0,2,1,1,0,6.2166061010848646,6.90875477931522,5.0,35.0,1.0,0,False,False,False,False,False,False,False,False,True,1,0,0.4095062260992533,1,0.530448027194966
16.0,1,0,1,1,1.2,3,1,1,1,7.313886831633462,6.034683666227958,18.0,44.0,1.0,0,True,False,False,False,True,False,False,False,False,0,0,0.32673749992886103,0,0.41180029291807707
15.0,0,0,1,1,1.6666666666666667,3,1,1,1,6.90875477931522,4.110873864173311,12.0,48.0,1.0,0,True,False,False,False,False,False,False,True,False,0,0,0.4921518876045038,1,0.5223621005448795
8.0,1,1,1,1,4.0,2,1,1,1,7.0909098220799835,8.657129031713755,12.0,32.0,1.0,0,False,False,False,False,True,False,False,False,False,0,0,0.3153830160094941,0,0.24007166108792333
14.0,1,1,1,1,1.0,2,0,1,0,5.017279836814924,7.467942332285852,3.0,52.0,1.0,0,False,False,False,False,False,False,True,False,False,1,1,0.5006196428670676,1,0.5635120921259138
6.0,1,0,1,1,2.6666666666666665,3,1,1,0,6.2166061010848646,0.0,12.0,42.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.826780760058574,1,0.7520812718810583
10.0,0,1,1,1,3.0,3,1,1,1,6.2166061010848646,5.993961427306569,12.0,36.0,1.0,1,True,False,False,False,False,False,False,True,False,0,0,0.4169110837380962,0,0.4907431850316126
11.0,1,0,1,1,1.2,2,1,1,1,6.2166061010848646,5.812138499293826,12.0,36.0,1.0,0,False,False,False,True,False,False,False,False,False,1,1,0.6729830001516557,1,0.603660745417809
10.0,0,0,1,1,2.0,3,1,1,0,6.2166061010848646,7.1316985104669115,14.0,29.0,2.0,0,True,False,False,True,False,False,False,False,False,1,1,0.8213337023821234,1,0.8038023379561706
6.0,0,0,1,1,2.5,3,1,1,1,6.2166061010848646,3.713572066704308,12.0,37.0,1.0,0,True,False,False,False,True,False,False,False,False,0,0,0.36895165228753557,0,0.4353471993627385
